index,title,link,time
1,"KT-고려대, 독자 AI 경쟁력 강화 ‘맞손’...‘믿음2.0’ 고도화 박차",https://n.news.naver.com/mnews/article/018/0006067544,2025-07-17 14:16:47
2,네이버웹툰·문피아 '2025 지상 최대 웹소설 공모전' 대상 발표,https://n.news.naver.com/mnews/article/014/0005378486,2025-07-17 14:16:47
3,'네이버가 스튜디오를?'…스트리머 우르르 몰렸다,https://n.news.naver.com/mnews/article/648/0000037974,2025-07-17 14:16:47
